Date,Txn_Date,USDGBP,EURGBP,CNYGBP,AEDGBP,INRGBP,JPYGBP 
28/01/2022,31/01/2022,0.7462,0.83224,0.117324,0.2032,0.009929,0.006474
04/02/2022,07/02/2022,0.7392,0.84615,0.11621,0.2013,0.009889,0.006416
11/02/2022,14/02/2022,0.7374,0.83698,0.116023,0.2007,0.009772,0.006388
18/02/2022,21/02/2022,0.7359,0.83326,0.116322,0.2004,0.009845,0.006396
25/02/2022,28/02/2022,0.7455,0.84022,0.118012,0.203,0.009922,0.006453
04/03/2022,07/03/2022,0.7555,0.82595,0.119547,0.2057,0.009889,0.00658
11/03/2022,14/03/2022,0.767,0.83703,0.120976,0.2088,0.009971,0.006538
18/03/2022,21/03/2022,0.7589,0.83861,0.119287,0.2066,0.010033,0.006369
25/03/2022,28/03/2022,0.7586,0.83312,0.119158,0.2066,0.009938,0.006215
01/04/2022,04/04/2022,0.7625,0.84204,0.119841,0.2076,0.010024,0.006223
08/04/2022,11/04/2022,0.7671,0.83482,0.120521,0.2089,0.010124,0.006172
15/04/2022,18/04/2022,0.7657,0.82784,0.120154,0.2084,0.010099,0.006055
22/04/2022,25/04/2022,0.7789,0.84111,0.119807,0.212,0.01015,0.006057
29/04/2022,02/05/2022,0.7953,0.83878,0.120326,0.2165,0.010402,0.006128
06/05/2022,09/05/2022,0.8102,0.85527,0.121584,0.2207,0.010553,0.006209
13/05/2022,16/05/2022,0.8155,0.84913,0.120115,0.2221,0.01055,0.00631
20/05/2022,23/05/2022,0.8004,0.84561,0.119595,0.2179,0.010345,0.006256
27/05/2022,30/05/2022,0.7918,0.84974,0.118185,0.2156,0.010202,0.00623
03/06/2022,06/06/2022,0.8007,0.85826,0.120211,0.218,0.010293,0.00612
10/06/2022,13/06/2022,0.812,0.85414,0.120999,0.221,0.010386,0.00604
17/06/2022,20/06/2022,0.8182,0.85847,0.121816,0.2228,0.010514,0.006061
24/06/2022,27/06/2022,0.8147,0.86001,0.121776,0.2218,0.010417,0.006026
01/07/2022,04/07/2022,0.8265,0.86165,0.123322,0.225,0.010541,0.006112
08/07/2022,11/07/2022,0.8309,0.84639,0.124123,0.2262,0.010487,0.006107
15/07/2022,18/07/2022,0.8426,0.85015,0.124687,0.2294,0.010596,0.006083
22/07/2022,25/07/2022,0.8334,0.85093,0.123348,0.2267,0.010489,0.006121
29/07/2022,01/08/2022,0.8216,0.83934,0.121742,0.2235,0.0104,0.006163
05/08/2022,08/08/2022,0.8283,0.84346,0.122523,0.2256,0.010484,0.006134
12/08/2022,15/08/2022,0.8239,0.84543,0.12221,0.2244,0.010347,0.006173
19/08/2022,22/08/2022,0.8454,0.84848,0.123999,0.2302,0.010596,0.006173
26/08/2022,29/08/2022,0.8515,0.84851,0.123937,0.2319,0.010579,0.006189
02/09/2022,05/09/2022,0.8689,0.8649,0.125904,0.2366,0.010848,0.006197
09/09/2022,12/09/2022,0.8629,0.86666,0.124576,0.2349,0.010872,0.006053
16/09/2022,19/09/2022,0.8756,0.87683,0.125404,0.2384,0.01102,0.006126
23/09/2022,26/09/2022,0.9209,0.89294,0.129212,0.2508,0.011147,0.006427
30/09/2022,03/10/2022,0.8953,0.87751,0.125825,0.2438,0.011127,0.006185
07/10/2022,10/10/2022,0.9021,0.87855,0.126666,0.2454,0.010924,0.006206
14/10/2022,17/10/2022,0.8951,0.87021,0.124365,0.2435,0.010837,0.006012
21/10/2022,24/10/2022,0.8847,0.8731,0.122396,0.241,0.010923,0.005994
28/10/2022,31/10/2022,0.861,0.85812,0.118708,0.2344,0.010495,0.005838
04/11/2022,07/11/2022,0.8788,0.87566,0.122349,0.2393,0.010836,0.005994
11/11/2022,14/11/2022,0.8453,0.87462,0.119052,0.23,0.010522,0.006086
18/11/2022,21/11/2022,0.841,0.86842,0.118113,0.2289,0.010283,0.005992
25/11/2022,28/11/2022,0.827,0.85989,0.115407,0.2252,0.010123,0.005942
02/12/2022,05/12/2022,0.8143,0.8573,0.115333,0.2215,0.010019,0.006057
09/12/2022,12/12/2022,0.8158,0.85922,0.117129,0.2219,0.009899,0.00597
16/12/2022,19/12/2022,0.8232,0.87159,0.118133,0.2243,0.009903,0.006025
23/12/2022,26/12/2022,0.8304,0.88111,0.118737,0.226,0.010008,0.006249
30/12/2022,02/01/2023,0.8276,0.88534,0.119815,0.2251,0.010029,0.006304
06/01/2023,09/01/2023,0.8269,0.88022,0.121103,0.2251,0.010016,0.00626
13/01/2023,16/01/2023,0.8178,0.88569,0.121986,0.2226,0.01011,0.006393
20/01/2023,23/01/2023,0.8067,0.87564,0.118715,0.2196,0.009962,0.006226
27/01/2023,30/01/2023,0.8076,0.87743,0.118757,0.2196,0.009924,0.006212
03/02/2023,06/02/2023,0.8295,0.89555,0.122041,0.2258,0.009977,0.006323
10/02/2023,13/02/2023,0.8291,0.88531,0.121695,0.2258,0.010019,0.006309
17/02/2023,20/02/2023,0.8308,0.88853,0.120901,0.2261,0.01006,0.00619
24/02/2023,27/02/2023,0.8373,0.88319,0.12032,0.228,0.010107,0.006136
03/03/2023,06/03/2023,0.8308,0.88301,0.120252,0.2261,0.010171,0.006112
10/03/2023,13/03/2023,0.8313,0.88427,0.120136,0.2263,0.010119,0.006156
17/03/2023,20/03/2023,0.8215,0.87589,0.11919,0.2235,0.009932,0.006228
24/03/2023,27/03/2023,0.8175,0.87973,0.119046,0.2226,0.009928,0.006255
31/03/2023,03/04/2023,0.8106,0.87902,0.117991,0.2208,0.009834,0.006107
07/04/2023,10/04/2023,0.8053,0.87819,0.11724,0.2192,0.009812,0.006094
14/04/2023,17/04/2023,0.8056,0.88551,0.11726,0.2194,0.009746,0.006021
21/04/2023,24/04/2023,0.8044,0.88363,0.116621,0.2189,0.009816,0.005993
28/04/2023,01/05/2023,0.7957,0.87676,0.115012,0.2167,0.009714,0.005843
05/05/2023,08/05/2023,0.7914,0.87252,0.114574,0.2156,0.0097,0.005872
12/05/2023,15/05/2023,0.8027,0.87156,0.115436,0.2188,0.009732,0.005918
19/05/2023,22/05/2023,0.8035,0.86812,0.114581,0.2188,0.009707,0.005827
26/05/2023,29/05/2023,0.8101,0.86865,0.114641,0.2206,0.009799,0.00576
