,DATE,COUNTRY,TRANSACTIONS,ARRIVALS,LHR_arrivals,non_LHR_arrivals,premium_economy_and_above_arrivals,business_and_above_arrivals,first_arrivals,transactions_non_target,transactions_target,transactions_bronze_and_above,transactions_gold_and_above,transactions_black_and_above,transactions_platinum_and_above,transactions_elite_and_above,USDGBP,EURGBP,CNYGBP,AEDGBP,INRGBP,JPYGBP 
0,31/01/2022,EU,465,22568,4396,18172,632,384,14,73,392,302,224,157,44,6,0.7462,0.83224,0.117324,0.2032,0.009929,0.006474
1,31/01/2022,Greater China,764,84,84,0,13,9,0,98,666,603,510,352,154,45,0.7462,0.83224,0.117324,0.2032,0.009929,0.006474
2,31/01/2022,Middle East - GCC,901,1463,1330,133,482,263,29,120,781,704,564,429,140,47,0.7462,0.83224,0.117324,0.2032,0.009929,0.006474
3,31/01/2022,North America,430,4189,3903,286,929,602,54,133,297,253,175,125,35,19,0.7462,0.83224,0.117324,0.2032,0.009929,0.006474
4,31/01/2022,RO APAC,323,2945,2375,570,686,484,35,57,266,230,186,118,59,27,0.7462,0.83224,0.117324,0.2032,0.009929,0.006474
5,07/02/2022,EU,1776,106115,21193,84922,2617,1776,146,340,1436,1049,728,538,127,12,0.7392,0.84615,0.11621,0.2013,0.009889,0.006416
6,07/02/2022,Greater China,3041,254,247,7,49,28,0,409,2632,2416,1833,1273,565,120,0.7392,0.84615,0.11621,0.2013,0.009889,0.006416
7,07/02/2022,Middle East - GCC,4314,7231,6682,549,1826,1015,138,607,3707,3357,2600,1906,706,248,0.7392,0.84615,0.11621,0.2013,0.009889,0.006416
8,07/02/2022,North America,1429,18009,16906,1103,4185,2618,202,402,1027,636,410,251,53,10,0.7392,0.84615,0.11621,0.2013,0.009889,0.006416
9,07/02/2022,RO APAC,1151,11765,9570,2195,2423,1682,93,187,964,854,624,400,156,39,0.7392,0.84615,0.11621,0.2013,0.009889,0.006416
10,14/02/2022,EU,1921,128537,25459,103078,2770,1831,167,375,1546,1176,805,585,187,35,0.7374,0.83698,0.116023,0.2007,0.009772,0.006388
11,14/02/2022,Greater China,3688,209,205,4,63,28,0,429,3259,3091,2394,1733,786,206,0.7374,0.83698,0.116023,0.2007,0.009772,0.006388
12,14/02/2022,Middle East - GCC,4453,8159,7528,631,1755,1285,187,523,3930,3543,2842,1969,708,246,0.7374,0.83698,0.116023,0.2007,0.009772,0.006388
13,14/02/2022,North America,1563,20095,18884,1211,4298,2526,166,471,1092,697,469,306,76,3,0.7374,0.83698,0.116023,0.2007,0.009772,0.006388
14,14/02/2022,RO APAC,1347,13918,10661,3257,2579,1796,104,171,1176,1043,791,557,215,73,0.7374,0.83698,0.116023,0.2007,0.009772,0.006388
