date, value
01/12/2021,65.57
02/12/2021,66.5
03/12/2021,66.26
06/12/2021,69.49
07/12/2021,72.05
08/12/2021,72.36
09/12/2021,70.94
10/12/2021,71.67
13/12/2021,71.29
14/12/2021,70.73
15/12/2021,70.828
16/12/2021,72.288
17/12/2021,70.776
20/12/2021,68.534
21/12/2021,71.12
22/12/2021,72.76
23/12/2021,73.79
24/12/2021,73.79
26/12/2021,73.79
27/12/2021,75.57
28/12/2021,75.98
29/12/2021,76.56
30/12/2021,76.99
31/12/2021,75.21
03/01/2022,76.08
04/01/2022,76.99
05/01/2022,77.85
06/01/2022,79.46
07/01/2022,78.9
10/01/2022,78.23
11/01/2022,81.22
12/01/2022,82.64
13/01/2022,82.12
14/01/2022,83.716
18/01/2022,85.19
19/01/2022,86.264
20/01/2022,85.82
21/01/2022,85.14
24/01/2022,83.31
25/01/2022,85.6
26/01/2022,87.35
27/01/2022,86.61
28/01/2022,86.82
31/01/2022,88.15
01/02/2022,88.2
02/02/2022,88.26
03/02/2022,90.27
04/02/2022,92.31
07/02/2022,91.32
08/02/2022,89.36
09/02/2022,89.66
10/02/2022,89.88
11/02/2022,93.1
14/02/2022,95.46
15/02/2022,92.07
16/02/2022,93.66
17/02/2022,91.416
18/02/2022,90.726
21/02/2022,90.554
22/02/2022,91.998
23/02/2022,92.1
24/02/2022,92.81
25/02/2022,91.59
28/02/2022,95.72
01/03/2022,103.41
02/03/2022,110.6
03/03/2022,107.67
04/03/2022,115.68
07/03/2022,119.4
08/03/2022,123.7
09/03/2022,108.7
10/03/2022,106.02
11/03/2022,109.33
14/03/2022,103.01
15/03/2022,96.44
16/03/2022,95.04
17/03/2022,102.714
18/03/2022,104.056
21/03/2022,110.83
22/03/2022,109.768
23/03/2022,114.93
24/03/2022,112.34
25/03/2022,113.9
28/03/2022,105.96
29/03/2022,104.24
30/03/2022,107.82
31/03/2022,100.28
01/04/2022,99.27
04/04/2022,103.28
05/04/2022,101.96
06/04/2022,96.23
07/04/2022,96.03
08/04/2022,98.26
11/04/2022,94.29
12/04/2022,100.6
13/04/2022,104.25
14/04/2022,106.836
15/04/2022,106.95
18/04/2022,107.97
19/04/2022,102.254
20/04/2022,102.302
21/04/2022,103.79
22/04/2022,102.07
25/04/2022,98.54
26/04/2022,101.7
27/04/2022,102.02
28/04/2022,105.36
29/04/2022,104.69
02/05/2022,105.17
03/05/2022,102.41
04/05/2022,107.81
05/05/2022,108.26
06/05/2022,109.77
09/05/2022,103.09
10/05/2022,99.76
11/05/2022,105.71
12/05/2022,106.13
13/05/2022,110.49
16/05/2022,114.2
17/05/2022,111.846
18/05/2022,108.57
19/05/2022,110.818
20/05/2022,110.87
23/05/2022,110.29
24/05/2022,109.77
25/05/2022,110.33
26/05/2022,114.09
27/05/2022,115.07
31/05/2022,114.67
01/06/2022,115.26
02/06/2022,116.87
03/06/2022,118.87
06/06/2022,118.5
07/06/2022,119.41
08/06/2022,122.11
09/06/2022,121.51
10/06/2022,120.67
13/06/2022,120.93
14/06/2022,118.93
15/06/2022,115.31
16/06/2022,117.122
17/06/2022,108.932
20/06/2022,108.618
21/06/2022,109.746
22/06/2022,106.19
23/06/2022,104.27
24/06/2022,107.62
27/06/2022,106.3706
28/06/2022,110.0287
29/06/2022,111.8361
30/06/2022,109.5467
01/07/2022,105.9726
04/07/2022,108.1883
05/07/2022,110.3528
06/07/2022,101.0279
07/07/2022,98.2402
08/07/2022,102.4885
11/07/2022,104.4933
12/07/2022,103.0596
13/07/2022,94.5368
14/07/2022,95.587
15/07/2022,96.4966
18/07/2022,97.2274
19/07/2022,104.22
20/07/2022,102.26
21/07/2022,96.24
22/07/2022,94.7
25/07/2022,96.16
26/07/2022,95.69
27/07/2022,98.07
28/07/2022,97.4
29/07/2022,98.62
01/08/2022,93.74
02/08/2022,93.9
03/08/2022,91.16
04/08/2022,87.87
05/08/2022,89.01
08/08/2022,90.52
09/08/2022,90.49
10/08/2022,91.48
11/08/2022,93.96
12/08/2022,92.45
15/08/2022,92.45
16/08/2022,86.87
17/08/2022,87.68
18/08/2022,90.75
19/08/2022,90.77
22/08/2022,90.23
23/08/2022,93.77
24/08/2022,95.24
25/08/2022,92.92
26/08/2022,93.06
29/08/2022,96.79
30/08/2022,91.99
31/08/2022,89.2
01/09/2022,87.05
02/09/2022,86.87
05/09/2022,89.03
06/09/2022,86.79
07/09/2022,81.93
08/09/2022,82.96
09/09/2022,86.79
12/09/2022,88.03
13/09/2022,87.61
14/09/2022,88.93
15/09/2022,84.58
16/09/2022,85.11
19/09/2022,85.65
20/09/2022,84.45
21/09/2022,82.81
22/09/2022,83.57
23/09/2022,78.74
26/09/2022,76.72
27/09/2022,78.5
28/09/2022,81.71
29/09/2022,81.69
30/09/2022,79.49
03/10/2022,83.35
04/10/2022,86.47
05/10/2022,88.16
06/10/2022,88.87
07/10/2022,92.64
