,DATE,COUNTRY,TRANSACTIONS,ARRIVALS,LHR_arrivals,non_LHR_arrivals,premium_economy_and_above_arrivals,business_and_above_arrivals,first_arrivals,transactions_non_target,transactions_target,transactions_bronze_and_above,transactions_gold_and_above,transactions_black_and_above,transactions_platinum_and_above,transactions_elite_and_above
0,2022-01-31,EU,465,22568,4396,18172,632,384,14,73.0,392.0,302,224,157,44,6
1,2022-01-31,Greater China,764,84,84,0,13,9,0,98.0,666.0,603,510,352,154,45
2,2022-01-31,Middle East - GCC,901,1463,1330,133,482,263,29,120.0,781.0,704,564,429,140,47
3,2022-01-31,North America,430,4189,3903,286,929,602,54,133.0,297.0,253,175,125,35,19
4,2022-01-31,RO APAC,323,2945,2375,570,686,484,35,57.0,266.0,230,186,118,59,27
5,2022-02-07,EU,1776,106115,21193,84922,2617,1776,146,340.0,1436.0,1049,728,538,127,12
6,2022-02-07,Greater China,3041,254,247,7,49,28,0,409.0,2632.0,2416,1833,1273,565,120
7,2022-02-07,Middle East - GCC,4314,7231,6682,549,1826,1015,138,607.0,3707.0,3357,2600,1906,706,248
8,2022-02-07,North America,1429,18009,16906,1103,4185,2618,202,402.0,1027.0,636,410,251,53,10
9,2022-02-07,RO APAC,1151,11765,9570,2195,2423,1682,93,187.0,964.0,854,624,400,156,39
10,2022-02-14,EU,1921,128537,25459,103078,2770,1831,167,375.0,1546.0,1176,805,585,187,35
11,2022-02-14,Greater China,3688,209,205,4,63,28,0,429.0,3259.0,3091,2394,1733,786,206
12,2022-02-14,Middle East - GCC,4453,8159,7528,631,1755,1285,187,523.0,3930.0,3543,2842,1969,708,246
13,2022-02-14,North America,1563,20095,18884,1211,4298,2526,166,471.0,1092.0,697,469,306,76,3
14,2022-02-14,RO APAC,1347,13918,10661,3257,2579,1796,104,171.0,1176.0,1043,791,557,215,73
15,2022-02-21,EU,1841,123623,22900,100723,3723,1992,188,402.0,1439.0,1044,701,464,127,17
16,2022-02-21,Greater China,3032,281,278,3,59,32,5,355.0,2677.0,2546,1981,1464,674,192
17,2022-02-21,Middle East - GCC,5051,7561,7203,358,2572,1542,197,685.0,4366.0,3888,2965,2080,954,257
18,2022-02-21,North America,1505,25137,23530,1607,6548,3850,200,459.0,1046.0,636,430,249,62,14
19,2022-02-21,RO APAC,1471,13352,10476,2876,3438,2204,120,191.0,1280.0,1091,850,585,239,46
20,2022-02-28,EU,1862,136150,30800,105350,5020,2680,234,393.0,1469.0,1123,769,542,115,13
21,2022-02-28,Greater China,3109,244,233,11,116,67,7,354.0,2755.0,2553,2077,1520,696,131
22,2022-02-28,Middle East - GCC,5226,9597,9026,571,4276,2022,265,755.0,4471.0,3913,3014,2226,885,265
23,2022-02-28,North America,1659,22500,21205,1295,6897,4268,223,465.0,1194.0,727,506,325,59,8
24,2022-02-28,RO APAC,1477,13759,10686,3073,4089,2448,112,241.0,1236.0,1107,890,577,236,55
25,2022-03-07,EU,1884,153316,39514,113802,4747,2856,256,439.0,1445.0,1055,784,557,127,11
26,2022-03-07,Greater China,3212,390,365,25,134,50,0,451.0,2761.0,2684,2028,1469,629,167
27,2022-03-07,Middle East - GCC,6843,8872,8274,598,2976,1941,294,988.0,5855.0,5036,4024,2995,1123,296
28,2022-03-07,North America,1687,32618,30881,1737,9151,5427,233,512.0,1175.0,716,460,298,61,12
29,2022-03-07,RO APAC,1433,16658,13462,3196,4734,2741,144,203.0,1230.0,1075,861,614,233,49
